nsub,cluster,ngenes,gene,nsnp,nsnpeff,effsize,condition,power,nsnpeffplot
100,0,1,1,20,5,0.1,0,1,4.99
100,0,1,1,20,10,0.1,0,1,9.99
100,0,1,1,40,5,0.1,0,1,4.99
100,0,1,1,40,10,0.1,0,1,9.99
